Species,Species string,Molecular mass (g/mol),Unit,OH_A,OH_ER,OH_F,OH_G,Lifetime stratosphere (years),Lifetime other troposphere (years),Lifetime ocean (years),Lifetime reference
C2F6,C$_2$F$_6$,138.012,ppt,1.00E-30,-1600,1,100,10000,,,WMO 2022
C3F8,C$_3$F$_8$,188.0196,ppt,1.00E-30,-1600,1,100,2600,,,WMO 2022
C4F10,C$_4$F$_10$,238.027,ppt,1.00E-30,-1600,1,100,2600,,,WMO 2022
C4F8,C$_4$F$_8$,200.03,ppt,1.00E-30,-1600,1,100,3200,,,WMO 2022
C5F12,C$_5$F$_12$,288.035,ppt,1.00E-30,-1600,1,100,4100,,,WMO 2022
C6F14,C$_6$F$_14$,338.04,ppt,1.00E-30,-1600,1,100,3100,,,WMO 2022
C7F16,C$_7$F$_16$,388.049,ppt,1.00E-30,-1600,1,100,3000,,,WMO 2022
C8F18,C$_8$F$_18$,438.057,ppt,1.00E-30,-1600,1,100,3000,,,WMO 2022
CCl4,CCl$_4$,153.8236,ppt,1.00E-11,-6200,,,44,,93,WMO 2022
CF4,CF$_4$,88.0044,ppt,1.00E-30,-1600,1,100,50000,,,WMO 2022
CFC-11,CFC-11,137.3688,ppt,1.00E-11,-9700,,,55,,,WMO 2022
CFC-112,CFC-112,203.83,ppt,1.00E-30,-1600,,,65.4,,,WMO 2022
CFC-112a,CFC-112a,203.83,ppt,1.00E-30,-1600,,,53.8,,,WMO 2022
CFC-113,CFC-113,187.3764,ppt,1.00E-30,-1600,,,94.5,,,WMO 2022
CFC-113a,CFC-113a,187.3764,ppt,1.00E-30,-1600,,,57.5,,,WMO 2022
CFC-114,CFC-114,170.92,ppt,1.00E-30,-1600,,,191,,,WMO 2022
CFC-114a,CFC-114a,170.92,ppt,1.00E-30,-1600,,,106.7,,,WMO 2022
CFC-115,CFC-115,154.466,ppt,1.00E-11,-6200,,,664,,,WMO 2022
CFC-12,CFC-12,120.914,ppt,1.00E-11,-11900,,,103,,,WMO 2022
CFC-13,CFC-13,104.46,ppt,1.00E-30,-1600,,,640,,,WMO 2022
CH2Cl2,CH$_2$Cl$_2$,84.93,ppt,1.92E-12,-880,1.15,100,,,,
CH3Br,CH$_3$Br,94.94,ppt,1.42E-12,-1150,1.07,100,26.3,,1.61,WMO 2022
CH3CCl3,CH$_3$CCl$_3$,133.405,ppt,1.64E-12,-1520,1.15,100,38,,94,WMO 2022
CH3Cl,CH$_3$Cl,50.49,ppt,1.96E-12,-1200,1.1,50,30.4,,3.11,WMO 2022
CH3I,CH$_3$I,141.94,ppt,2.90E-12,-1100,1.1,100,,0.024,,WMO 2018
CH4,CH$_4$,16.0426,ppb,2.45E-12,-1775,1.1,100,152,,,
13CH4,$^{13}$CH$_4$,17.0426,ppb,2.44E-12,-1775,1.1,100,153.8,,,
CHCl3,CHCl$_3$,119.38,ppt,2.2E-12,-920,1.15,150,,,,
CO2,CO$_2$,44.01,ppm,1.00E-18,-3600,1.15,100,100000,,,
Desflurane,Desflurane,168.03,ppt,8.15E-13,-1570,1.15,100,188,,,WMO 2022
H-1211,H-1211,165.36,ppt,1.00E-12,-3500,,,41,26.24,,WMO 2018
H-1301,H-1301,148.91,ppt,1.00E-12,-3600,,,73.5,3528,,WMO 2018
H-2311,Halon-2311,197.39,ppq,1.00E-12,-940,1.2,150,20,1.05,,WMO 2018
